src,trg
Explicit calculation of the two-loop corrections to the chiral magnetic effect with the NJL model,Chiral magnetic conductivity in an interacting lattice model of parity-breaking Weyl semimetal
"Effects of Fission Yield Data in the Calculation of Antineutrino Spectra for U235(n,fission) at Thermal and Fast Neutron Energies",Reactor Decay Heat in Pu239: Solving the γ Discrepancy in the 4–3000-s Cooling Period
Dielectric Spectroscopy of Ferromagnetic Semiconductors,Electromagnetic Effects of Spin Wave Resonance in Ferromagnetic Metals
Synchronization of hyperexcitable systems with phase-repulsive coupling,Delay-induced multistable synchronization of biological oscillators
Obukhov replies,Dissipative transport in open systems: An investigation of self-organized criticality
Determination of atom-field observables via resonant interaction,From Lamb shift to light shifts: Vacuum and subphoton cavity fields measured by atomic phase sensitive detection
Controlled Generation of Dark Solitons with Phase Imprinting,Generation of Spin-Wave Envelope Dark Solitons
Nuclear Single-Particle Wave Functions,Theory of Conservation of Isotopic Spin from d+d Reactions
Improved initial data for black hole binaries by asymptotic matching of post-Newtonian and perturbed black hole solutions,Third post-Newtonian higher order ADM Hamilton dynamics for two-body point-mass systems
Rare region effects dominate weakly disordered three-dimensional Dirac points,Calculation of the Superconducting State Parameters with Retarded Electron-Phonon Interaction
Nematic Bond Theory of Heisenberg Helimagnets,Ordering due to disorder in a frustrated vector antiferromagnet
Many-body correlations brought to light in absorption spectra of diluted magnetic semiconductors,Magnetic Correlations at Graphene Edges: Basis for Novel Spintronics Devices
Semiclassical gravity and invisible axions,CP Conservation in the Presence of Pseudoparticles
Open charm effects in the explanation of the long-standing “ρπ puzzle”,Revisit the radiative decays of J/ψ and ψ′→γηc(γηc′)
"Constants of motion, accessible states, and information theory",Spin Echoes
NMR Investigation of Superconductivity and Antiferromagnetism in CaFe2As2 under Pressure,First-order magnetic transition in single-crystalline CaFe2As2 detected by A75s nuclear magnetic resonance
Kosterlitz-Thouless transition in planar spin models with bond dilution,Probability-changing cluster algorithm for two-dimensional XY and clock models
Analysis of the vertices ΩQ*ΩQϕ and radiative decays ΩQ*→ΩQγ,"Analysis of the vertices ρNN, ρΣΣ, and ρΞΞ with light-cone QCD sum rules"
Optimal working point in dissipative quantum annealing,Anti-Kibble-Zurek Behavior in Crossing the Quantum Critical Point of a Thermally Isolated System Driven by a Noisy Control Field
Excitation energy after a smooth quench in a Luttinger liquid,Adiabatic quenches through an extended quantum critical region
Multiconfiguration Self-Consistent-Field Theory for Localized Orbitals. I. The Orbital Equations,Self-Consistent Local Orbitals for Lithium Halide Crystals
Dissolution of nucleons in giant nuclei,Soliton bag model
Quantum enhancement in laser-assisted photoionization and a method for the measurement of an attosecond xuv pulse,Quantum Theory of Attosecond XUV Pulse Measurement by Laser Dressed Photoionization
Surface reconstructions and atomic ordering in InxGa1−xAs(001) films: A density-functional theory study,Ground State of the Electron Gas by a Stochastic Method
Four-Body Calculation of Proton-He3 Scattering,"High-precision, charge-dependent Bonn nucleon-nucleon potential"
Entanglement Suppression and Emergent Symmetries of Strong Interactions,Soft two-meson-exchange nucleon-nucleon potentials. I. Planar and crossed-box diagrams
Anharmonic effects in atomic hydrogen: Superconductivity and lattice dynamical stability,Melting Line of Hydrogen at High Pressures
Tetrahedron-tiling method for crystal structure prediction,First-principles energy density and its applications to selected polar surfaces
Slow light propagation in a thin optical fiber via electromagnetically induced transparency,Narrowing of electromagnetically induced transparency resonance in a Doppler-broadened medium
Rings and rigidity transitions in network glasses,Vibrational densities of states and network rigidity in chalcogenide glasses
Manipulation of Goos-Hänchen shifts in the atomic configuration of mercury via interacting dark-state resonances,Tunneling delay times in one and two dimensions
Study of the Reaction π++p→Σ++K+ near Threshold,Charge Independence and Hyperon Production
Long storage time of collective coherence in an optically trapped Bose-Einstein condensate,Bragg Spectroscopy of a Bose-Einstein Condensate
Search for the minimal universal extra dimension model at the LHC with s=7  TeV,Probes of universal extra dimensions at colliders
"Optically detected magnetic resonance in (Zn,Mn)Se/(Zn,Be)Se quantum wells",Optically detected magnetic resonance of Cd0.905Mn0.095Te
Soft mode in cubic PbTiO3 by hyper-Raman scattering,Soft Mode Doublet in PbMg1/3Nb2/3O3 Relaxor Investigated with Hyper-Raman Scattering
Defect volumes and the equation of state in α−PbF2,Theoretical study of native and rare-earth defect complexes in β-PbF2
Singular unlocking transition in the Winfree model of coupled oscillators,High-Q cavity-induced synchronization in oscillator arrays
"Formation energies, binding energies, structure, and electronic transitions of Si divacancies studied by density functional calculations",Compensation of p-Type Doping in ZnSe: The Role of Impurity-Native Defect Complexes
Production of excitons in grazing collisions of protons with LiF surfaces: An onion model,Channeling effect in electronic spectra produced by grazing impact of fast protons on insulator surfaces
"Quasiparticle parametrization of mean fields, Galilei invariance, and universal conserving response functions",Electron Correlations at Metallic Densities
Molecular-orientation-dependent ac Stark effect and its impact on multiphoton processes,Imaging electron molecular orbitals via ionization by intense femtosecond pulses
Novel Rapidity Dependence of Directed Flow in High-Energy Heavy-Ion Collisions,Hydrodynamics near the QCD Phase Transition: Looking for the Longest-Lived Fireball
Magnetic dipole interactions in crystals,Ground State of Magnetic Dipoles on a Two-Dimensional Lattice: Structural Phases in Complex Plasmas
Organic random lasers in the weak-scattering regime,Light diffusion with gain and random lasers
Fluid-particle separation in a random flow described by the telegraph model,Universal long-time properties of Lagrangian statistics in the Batchelor regime and their application to the passive scalar problem
Magic wavelengths for the 5s–18s transition in rubidium,Magic wavelengths for optical cooling and trapping of lithium
Ordering in Si-Ge superlattices,Atomic and Electronic Structures of Reconstructed Si(100) Surfaces
Rotating Binary Bose-Einstein Condensates and Vortex Clusters in Quantum Droplets,Ultradilute Low-Dimensional Liquids
"Magnetic ordering and superconductivity in the R2Ir3Ge5(R=Y,La,Ce–Nd,Gd–Tm,Lu) system",Neutron-diffraction study of magnetically ordered Tb2Fe3Si5
Superconductivity from a non-Fermi-liquid metal: Kondo fluctuation mechanism in slave-fermion theory,Violation of the Wiedemann-Franz Law at the Kondo Breakdown Quantum Critical Point
Investigation of the elastic and photoelastic properties and refractive index of TbF3,Theory of the Photoelastic Interaction
Unitary-Feedback-Improved Qubit Initialization in the Dispersive Regime,Resonant Phase Matching of Josephson Junction Traveling Wave Parametric Amplifiers
Photogalvanic effect and photoconductance in a quantum channel with a single short-range scatterer,Generation of photocurrent in quantum dot infrared photodetectors: Role of Pauli correlations
Ultrafast demagnetization after laser irradiation in transition metals: Ab initio calculations of the spin-flip electron-phonon scattering with reduced exchange splitting,Laser-Induced Ultrafast Demagnetization in Ferromagnetic Metals
ρ−ω mixing and spin dependent charge-symmetry violating potential,Determination of the S-wave scattering shape parameter P from the zero-energy wave function
Dynamic structure factor and vibrational properties of SiO2 glass,Elastic instability in α-quartz under pressure
Shell model study of using an effective field theory for disentangling several contributions to neutrinoless double-β decay,Additional nucleon current contributions to neutrinoless double β decay
Imaging snake orbits at graphene n−p junctions,Electronic Transport and Quantum Hall Effect in Bipolar Graphene p−n−p Junctions
Scalar absorption by charged rotating black holes,Absorption of planar massless scalar waves by Kerr black holes
Application of the dynamical droplet model to critical nonionic amphiphile-water micellar solutions,Experimental evidence of nonexponential relaxation near the critical point of a supramolecular liquid mixture
Lifetime of the Bose Gas with Resonant Interactions,Observation of Universality in Ultracold Li7 Three-Body Recombination
Localized Excitations at the Mott Insulator-Superfluid Interfaces for Confined Bose-Einstein Condensates,Cold Bosonic Atoms in Optical Lattices
Discrete-time quantum walks as fermions of lattice gauge theory,Digital lattice gauge theories
Extension of Wick’s theorem for many-particle matrix elements,Nuclear structure theory in spin- and number-conserving quasiparticle configuration spaces: General formalism
Electronic structure in gapped graphene with a Coulomb potential,Average density of states in disordered graphene systems
Temporally uncorrelated photon-pair generation by dual-pump four-wave mixing,High-performance single-photon generation with commercial-grade optical fiber
Coalescence of Crystalline Drops,Coalescence of liquid drops by surface tension
Bulk quantum correlations and doping-induced nonmetallicity in the Bi2Se3 topological insulator,Strong surface scattering in ultrahigh-mobility Bi2Se3 topological insulator crystals
Tripartite Entanglement versus Tripartite Nonlocality in Three-Qubit Greenberger-Horne-Zeilinger-Class States,Distinguishing three-body from two-body nonseparability by a Bell-type inequality
Back-reaction effects of quantum vacuum in cavity quantum electrodynamics,Optical properties of atomic Mott insulators: From slow light to dynamical Casimir effects
Ferromagnetic Relaxation Mechanism for Mz in Yttrium Iron Garnet,On the Theory of Spin Waves in Ferromagnetic Media
